Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,544.0,544.0,534.0,537.0,534.022216796875,16633821
2023-08-22,544.0,544.0,538.0,541.0,538.0,14594304
2023-08-23,546.0,552.0,544.0,552.0,548.9390258789062,20636332
2023-08-24,563.0,564.0,558.0,564.0,560.8724975585938,23280827
2023-08-25,549.0,551.0,546.0,546.0,542.9722900390625,24144537
2023-08-28,547.0,553.0,547.0,549.0,545.9556274414062,8991985
2023-08-29,551.0,553.0,546.0,552.0,548.9390258789062,10516678
2023-08-30,558.0,560.0,554.0,555.0,551.92236328125,15117416
2023-08-31,553.0,556.0,548.0,549.0,545.9556274414062,40431378
2023-09-01,543.0,553.0,543.0,548.0,544.961181640625,13669766
2023-09-04,549.0,557.0,549.0,557.0,553.9113159179688,9531157
2023-09-05,553.0,555.0,550.0,552.0,548.9390258789062,12220686
2023-09-06,556.0,556.0,550.0,550.0,546.9501342773438,14067008
2023-09-07,546.0,548.0,542.0,542.0,538.9944458007812,20717005
2023-09-08,535.0,540.0,535.0,539.0,536.0111083984375,15283568
2023-09-11,539.0,540.0,536.0,536.0,533.0277709960938,14631968
2023-09-12,536.0,545.0,536.0,544.0,540.9833984375,16028336
2023-09-13,545.0,548.0,541.0,541.0,538.0,16191392
2023-09-14,544.0,550.0,543.0,550.0,550.0,17144287
2023-09-15,549.0,558.0,547.0,558.0,558.0,42517441
2023-09-18,548.0,549.0,540.0,540.0,540.0,36684692
2023-09-19,539.0,543.0,538.0,538.0,538.0,18901683
2023-09-20,536.0,538.0,535.0,535.0,535.0,24635567
2023-09-21,530.0,531.0,526.0,527.0,527.0,32012694
2023-09-22,523.0,525.0,522.0,522.0,522.0,29049309
2023-09-25,522.0,529.0,522.0,525.0,525.0,17116402
2023-09-26,521.0,524.0,519.0,519.0,519.0,26392692
2023-09-27,517.0,523.0,516.0,522.0,522.0,16846401
2023-09-28,523.0,525.0,520.0,523.0,523.0,19733331
2023-10-02,530.0,534.0,528.0,533.0,533.0,25427911
2023-10-03,528.0,533.0,528.0,529.0,529.0,14490129
2023-10-04,521.0,523.0,519.0,520.0,520.0,28358964
2023-10-05,523.0,529.0,523.0,528.0,528.0,24945684
2023-10-06,530.0,533.0,529.0,532.0,532.0,15336587
2023-10-11,542.0,544.0,540.0,544.0,544.0,46639969
2023-10-12,545.0,550.0,544.0,550.0,550.0,34161176
2023-10-13,550.0,554.0,548.0,553.0,553.0,31123496
2023-10-16,546.0,547.0,542.0,545.0,545.0,20222773
